sepal_length,sepal_width,petal_length,petal_width,class
NA,2.5,4.5,NA,3
NA,2.0,3.5,NA,NA
6.2,3.4,5.4,NA,NA
5.8,NA,NA,1.2,2
NA,3.4,NA,2.4,3
NA,3.5,1.5,NA,1
NA,2.8,5.1,NA,3
6.7,3.1,4.4,1.4,NA
NA,3.3,4.7,1.6,NA
6.4,3.2,NA,NA,NA
5.4,3.4,1.5,NA,1
NA,4.0,1.2,NA,1
6.0,2.7,NA,1.6,2
NA,NA,4.2,1.3,2
NA,2.5,4.9,1.5,2
4.9,NA,1.4,NA,NA
5.7,NA,1.7,NA,NA
6.8,3.0,5.5,NA,3
5.7,2.6,3.5,NA,2
6.1,3.0,4.6,NA,2
4.7,NA,1.3,NA,1
NA,3.3,5.7,2.1,NA
4.8,NA,1.4,NA,1
6.7,NA,5.6,2.4,3
NA,3.1,1.5,0.2,1
6.7,3.0,NA,2.3,NA
6.6,NA,4.6,1.3,2
5.5,NA,4.0,1.3,2
4.5,2.3,1.3,NA,1
6.3,2.5,5.0,1.9,NA
NA,2.6,6.9,NA,3
4.3,3.0,1.1,NA,NA
6.7,NA,4.7,1.5,NA
7.0,3.2,4.7,NA,2
5.4,3.7,1.5,0.2,NA
7.7,3.0,NA,2.3,NA
7.7,3.8,NA,NA,3
NA,3.2,5.7,NA,NA
NA,2.3,NA,NA,NA
NA,3.1,1.5,0.1,1
6.1,NA,NA,NA,NA
NA,3.5,NA,NA,1
7.4,NA,NA,NA,NA
7.1,NA,NA,NA,3
5.4,3.4,1.7,0.2,NA
4.9,3.1,NA,0.1,NA
NA,3.2,1.3,NA,1
5.7,NA,NA,1.3,2
4.7,3.2,1.6,0.2,NA
NA,NA,6.0,1.8,3
4.9,NA,3.3,1.0,2
5.0,NA,3.3,NA,2
7.7,2.8,6.7,NA,NA
5.1,NA,1.7,0.5,NA
7.2,NA,NA,2.5,3
NA,NA,5.5,1.8,3
NA,3.0,1.3,0.2,1
NA,2.6,NA,1.2,NA
5.1,NA,NA,0.2,1
NA,NA,5.9,2.3,NA
5.2,NA,3.9,1.4,2
NA,3.0,1.4,NA,NA
5.9,NA,5.1,1.8,3
6.7,NA,5.7,NA,NA
6.1,2.6,5.6,NA,NA
NA,NA,5.8,NA,NA
7.3,2.9,6.3,NA,NA
6.2,NA,4.3,1.3,NA
NA,3.0,NA,1.5,2
6.0,2.2,NA,NA,3
NA,3.1,1.6,NA,NA
5.8,NA,NA,NA,3
6.9,3.1,5.1,NA,NA
NA,3.3,1.4,0.2,NA
NA,2.8,4.1,NA,NA
